danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Position,Genres,Artist_Name,Date
0.465,0.446,2,-5.515,1,0.0278,0.208,0.0,0.138,0.193,132.022,210732,4,92,contemporary country**country pop**viral pop,Lauren Duski,6/5/17
0.498,0.408,6,-7.946,1,0.0331,0.644,0.0,0.0993,0.383,78.942,198973,4,94,contemporary country**country**country road**modern country rock,Lee Brice,6/5/17
0.735,0.588,5,-7.197,0,0.226,0.0356,0.0,0.107,0.435,90.002,194267,4,74,kentucky hip hop**pop**pop rap**r&b**rap**trap,Bryson Tiller,6/12/17
0.932,0.702,7,-3.459,0,0.0904,0.00304,1.86e-05,0.267,0.533,143.001,167853,4,85,kentucky hip hop**pop**pop rap**r&b**rap**trap,Bryson Tiller,6/12/17
0.817,0.587,2,-6.502,1,0.108,0.052,0.00165,0.185,0.352,140.062,209143,4,88,atl hip hop**dirty south rap**gangster rap**hip hop**pop rap**rap**southern hip hop**trap,Gucci Mane,6/12/17
0.651,0.782,8,-4.295,1,0.0718,0.295,0.0,0.107,0.945,171.987,176893,4,90,contemporary country**country**country road,Old Dominion,6/12/17
0.646,0.756,9,-9.017,0,0.488,0.393,3e-05,0.202,0.602,193.88,169267,4,91,kentucky hip hop**pop**pop rap**r&b**rap**trap,Bryson Tiller,6/12/17
0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,221904,4,94,dance pop**dutch edm**edm**pop**pop dance**progressive house**tropical house,Martin Garrix,6/12/17
0.651,0.663,11,-7.78,1,0.327,0.205,0.0,0.105,0.377,114.137,134747,4,98,kentucky hip hop**pop**pop rap**r&b**rap**trap,Bryson Tiller,6/12/17
0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,190557,4,99,rap**slap house,Travis Scott,6/12/17
0.69,0.784,11,-4.724,1,0.056,0.01,4.08e-05,0.22,0.284,109.969,221206,4,100,dance pop**electropop**etherpop**indie poptimism**pop,Halsey,6/12/17
0.53,0.512,8,-7.094,1,0.133,0.0162,7.04e-05,0.128,0.401,196.121,165200,4,42,dance pop**girl group**pop**post-teen pop**talent show**viral pop,Fifth Harmony,6/19/17
0.461,0.812,10,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869,193902,4,53,dirty south rap**hip hop**miami hip hop**pop**pop rap**rap**southern hip hop**trap,DJ Khaled,6/19/17
0.519,0.57,1,-7.366,1,0.202,0.0254,0.0,0.0821,0.317,164.155,205373,4,82,hip hop**philly rap**pop rap**rap**southern hip hop**trap,Meek Mill,6/19/17
0.554,0.743,9,-6.016,1,0.0287,0.0251,0.0,0.359,0.673,72.997,205733,4,85,contemporary country**country**country road**modern country rock,Dustin Lynch,6/19/17
0.738,0.814,7,-4.414,0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,225850,4,87,dance pop**edm**electro house**moombahton**pop**pop dance**pop rap**tropical house,Major Lazer,6/19/17
0.79,0.714,1,-7.86,0,0.202,0.00142,0.0,0.111,0.559,150.033,217678,5,94,social media pop,Jake Paul,6/19/17
0.488,0.744,2,-4.284,0,0.131,0.0353,0.0,0.0952,0.59,180.007,165173,4,97,arkansas country**contemporary country**country**country road**modern country rock**redneck,Justin Moore,6/19/17
0.708,0.612,5,-6.379,0,0.122,0.0381,0.0,0.277,0.263,139.913,229013,4,99,dance pop**hip pop**pop**r&b**southern hip hop**trap**urban contemporary,Trey Songz,6/19/17
0.551,0.651,8,-5.828,0,0.0594,0.225,0.0,0.224,0.562,144.875,194907,4,16,big room**dance pop**edm**pop**pop dance**pop rap,David Guetta,6/26/17
